customer_id,customer_name,gender,age,city,state,loyalty_tier,joining_date,email,phone
C0001,Customer 1,Male,65,Mumbai,Maharashtra,Gold,2025-01-22,customer1@example.com,9339670711
C0002,Customer 2,Other,24,Bengaluru,Karnataka,Bronze,2023-02-14,customer2@example.com,9553035110
C0003,Customer 3,Male,23,Delhi,Delhi,Silver,2025-02-16,customer3@example.com,9642621108
C0004,Customer 4,Other,30,Delhi,Delhi,Platinum,2025-03-13,customer4@example.com,9582334538
C0005,Customer 5,Male,28,Pune,Maharashtra,Platinum,2024-07-11,customer5@example.com,9398362082
C0006,Customer 6,Male,39,Bengaluru,Karnataka,Bronze,2025-11-30,customer6@example.com,9507943839
C0007,Customer 7,Female,40,Mumbai,Maharashtra,Gold,2026-03-11,customer7@example.com,9883543540
C0008,Customer 8,Other,25,Ahmedabad,Gujarat,Platinum,2025-12-28,customer8@example.com,9692749116
C0009,Customer 9,Other,57,Pune,Maharashtra,Gold,2023-03-13,customer9@example.com,9306468299
C0010,Customer 10,Male,60,Mumbai,Maharashtra,Silver,2024-10-23,customer10@example.com,9185675980
C0011,Customer 11,Male,42,Hyderabad,Telangana,Gold,2023-11-22,customer11@example.com,9782560971
C0012,Customer 12,Male,41,Chennai,Tamil Nadu,Gold,2025-04-04,customer12@example.com,9819595113
C0013,Customer 13,Other,61,Pune,Maharashtra,Bronze,2023-01-07,customer13@example.com,9781802744
C0014,Customer 14,Other,64,Bengaluru,Karnataka,Silver,2025-07-08,customer14@example.com,9596348124
C0015,Customer 15,Female,58,Kolkata,West Bengal,Silver,2022-08-05,customer15@example.com,9448195935
C0016,Customer 16,Male,20,Delhi,Delhi,Gold,2024-03-08,customer16@example.com,9387484583
C0017,Customer 17,Male,54,Mumbai,Maharashtra,Gold,2025-03-29,customer17@example.com,9803771909
C0018,Customer 18,Female,59,Ahmedabad,Gujarat,Platinum,2025-08-19,customer18@example.com,9384412919
C0019,Customer 19,Male,65,Bengaluru,Karnataka,Gold,2023-02-26,customer19@example.com,9560027313
C0020,Customer 20,Female,32,Kolkata,West Bengal,Silver,2023-07-30,customer20@example.com,9629908599
C0021,Customer 21,Male,25,Mumbai,Maharashtra,Silver,2022-11-30,customer21@example.com,9271779360
C0022,Customer 22,Other,22,Kolkata,West Bengal,Platinum,2024-04-17,customer22@example.com,9739830322
C0023,Customer 23,Other,34,Ahmedabad,Gujarat,Bronze,2022-08-14,customer23@example.com,9873869166
C0024,Customer 24,Other,52,Mumbai,Maharashtra,Gold,2022-11-03,customer24@example.com,9465260635
C0025,Customer 25,Female,45,Mumbai,Maharashtra,Silver,2023-11-21,customer25@example.com,9103484630
C0026,Customer 26,Other,29,Pune,Maharashtra,Bronze,2022-12-05,customer26@example.com,9420452650
C0027,Customer 27,Male,41,Hyderabad,Telangana,Silver,2023-05-30,customer27@example.com,9936043811
C0028,Customer 28,Other,38,Delhi,Delhi,Platinum,2026-04-29,customer28@example.com,9220117054
C0029,Customer 29,Female,33,Chennai,Tamil Nadu,Bronze,2025-01-30,customer29@example.com,9709194872
C0030,Customer 30,Male,64,Mumbai,Maharashtra,Platinum,2026-01-17,customer30@example.com,9916690353
C0031,Customer 31,Male,60,Bengaluru,Karnataka,Platinum,2023-05-09,customer31@example.com,9277303722
C0032,Customer 32,Other,56,Pune,Maharashtra,Platinum,2025-03-31,customer32@example.com,9679064766
C0033,Customer 33,Other,37,Hyderabad,Telangana,Platinum,2022-09-01,customer33@example.com,9797801251
C0034,Customer 34,Female,51,Chennai,Tamil Nadu,Platinum,2025-10-03,customer34@example.com,9366186631
C0035,Customer 35,Male,39,Hyderabad,Telangana,Bronze,2023-02-19,customer35@example.com,9694768704
C0036,Customer 36,Other,32,Hyderabad,Telangana,Bronze,2026-01-13,customer36@example.com,9860038427
C0037,Customer 37,Male,22,Delhi,Delhi,Bronze,2024-07-31,customer37@example.com,9176082500
C0038,Customer 38,Female,60,Hyderabad,Telangana,Platinum,2025-03-26,customer38@example.com,9678998028
C0039,Customer 39,Other,54,Bengaluru,Karnataka,Platinum,2025-01-26,customer39@example.com,9942478695
C0040,Customer 40,Female,30,Ahmedabad,Gujarat,Bronze,2025-11-21,customer40@example.com,9807577342
C0041,Customer 41,Female,45,Kolkata,West Bengal,Platinum,2023-10-25,customer41@example.com,9882839238
C0042,Customer 42,Other,59,Delhi,Delhi,Bronze,2026-02-03,customer42@example.com,9532311310
C0043,Customer 43,Male,33,Chennai,Tamil Nadu,Silver,2025-05-14,customer43@example.com,9675832441
C0044,Customer 44,Male,45,Ahmedabad,Gujarat,Silver,2024-11-14,customer44@example.com,9596743109
C0045,Customer 45,Male,46,Hyderabad,Telangana,Bronze,2026-02-24,customer45@example.com,9800235246
C0046,Customer 46,Male,33,Delhi,Delhi,Silver,2024-02-26,customer46@example.com,9621453189
C0047,Customer 47,Male,43,Ahmedabad,Gujarat,Bronze,2025-07-05,customer47@example.com,9506919288
C0048,Customer 48,Female,34,Delhi,Delhi,Platinum,2024-10-31,customer48@example.com,9554200826
C0049,Customer 49,Male,30,Ahmedabad,Gujarat,Gold,2025-03-19,customer49@example.com,9162795957
C0050,Customer 50,Other,38,Delhi,Delhi,Bronze,2026-02-25,customer50@example.com,9727255918
C0051,Customer 51,Other,51,Ahmedabad,Gujarat,Silver,2026-02-11,customer51@example.com,9645276696
C0052,Customer 52,Male,22,Mumbai,Maharashtra,Bronze,2022-08-25,customer52@example.com,9352548261
C0053,Customer 53,Male,54,Kolkata,West Bengal,Silver,2023-03-10,customer53@example.com,9738360085
C0054,Customer 54,Other,23,Delhi,Delhi,Platinum,2022-09-30,customer54@example.com,9726713347
C0055,Customer 55,Female,31,Chennai,Tamil Nadu,Gold,2025-02-04,customer55@example.com,9385201412
C0056,Customer 56,Male,60,Kolkata,West Bengal,Gold,2023-11-14,customer56@example.com,9439492674
C0057,Customer 57,Male,47,Mumbai,Maharashtra,Bronze,2026-01-08,customer57@example.com,9677280546
C0058,Customer 58,Other,34,Hyderabad,Telangana,Silver,2024-06-23,customer58@example.com,9173864104
C0059,Customer 59,Female,36,Hyderabad,Telangana,Silver,2023-12-23,customer59@example.com,9995226828
C0060,Customer 60,Other,59,Pune,Maharashtra,Bronze,2022-09-09,customer60@example.com,9977358886
C0061,Customer 61,Other,24,Pune,Maharashtra,Silver,2024-12-13,customer61@example.com,9223940587
C0062,Customer 62,Other,53,Mumbai,Maharashtra,Silver,2024-11-27,customer62@example.com,9402533494
C0063,Customer 63,Other,39,Hyderabad,Telangana,Silver,2022-07-31,customer63@example.com,9781007818
C0064,Customer 64,Other,49,Pune,Maharashtra,Gold,2026-02-23,customer64@example.com,9199104722
C0065,Customer 65,Female,20,Kolkata,West Bengal,Bronze,2024-07-24,customer65@example.com,9927982963
C0066,Customer 66,Other,34,Bengaluru,Karnataka,Silver,2023-12-16,customer66@example.com,9692362342
C0067,Customer 67,Other,18,Kolkata,West Bengal,Bronze,2026-01-04,customer67@example.com,9841976666
C0068,Customer 68,Other,20,Bengaluru,Karnataka,Gold,2023-03-03,customer68@example.com,9693269304
C0069,Customer 69,Female,26,Bengaluru,Karnataka,Bronze,2024-09-14,customer69@example.com,9491541578
C0070,Customer 70,Female,31,Delhi,Delhi,Silver,2022-09-11,customer70@example.com,9210373808
C0071,Customer 71,Other,44,Chennai,Tamil Nadu,Silver,2025-02-08,customer71@example.com,9274484941
C0072,Customer 72,Female,19,Bengaluru,Karnataka,Silver,2024-07-27,customer72@example.com,9940081098
